CustomerID,OutletName,Area,City,OutletType,DistributorID,RepEmployeeID,OnboardDate,ClosureDate,CreditTermDays,Status
C0001,Krishna Medical Store 1,Sarafa Bazaar,Indore,Standalone Pharmacy,D01,E06,2021-08-26,,30,Active
C0002,Shree Pharmacy 2,Bhawarkuan,Indore,Standalone Pharmacy,D01,E07,2018-07-05,,45,Active
C0003,Krishna Medical Store 3,Rajwada,Indore,Standalone Pharmacy,D01,E08,2019-04-13,,30,Active
C0004,Shree Medical Store 4,Musakhedi,Indore,Ayurvedic Store,D02,E09,2021-09-10,2023-04-15,30,Closed
C0005,Maa Ayurvedic Bhandar 5,Nipania,Indore,Standalone Pharmacy,D02,E10,2018-01-23,,30,Active
C0006,Maa Medical Store 6,Sanwer Road,Ujjain,Standalone Pharmacy,D02,E11,2019-08-24,,15,Active
C0007,Shree Pharmacy 7,Palasia,Indore,Ayurvedic Store,D01,E06,2019-12-02,2024-04-15,30,Closed
C0008,Maa Medicos 8,Sarafa Bazaar,Indore,Standalone Pharmacy,D01,E07,2021-10-18,,30,Active
C0009,Om Medicos 9,MG Road,Indore,Ayurvedic Store,D01,E08,2020-12-27,,30,Active
C0010,Maa Pharmacy 10,Ujjain Road Belt,Dewas,General Medical Store,D02,E09,2020-05-22,,45,Active
C0011,Balaji Medicos 11,Annapurna Road,Indore,Ayurvedic Store,D02,E10,2021-07-12,,30,Active
C0012,Ganesh Ayurvedic Bhandar 12,Ujjain Road Belt,Dewas,Standalone Pharmacy,D02,E11,2019-09-23,,30,Active
C0013,Shivam Pharmacy 13,Palasia,Indore,Ayurvedic Store,D01,E06,2019-06-05,,15,Active
C0014,Jai Pharmacy 14,MG Road,Indore,Ayurvedic Store,D01,E07,2021-03-13,,15,Active
C0015,Om Medicos 15,MG Road,Indore,General Medical Store,D01,E08,2020-07-11,,45,Active
C0016,Krishna Pharmacy 16,Sanwer Road,Dewas,Standalone Pharmacy,D02,E09,2018-06-10,2024-04-15,45,Closed
C0017,Maa Medicos 17,Sanwer Road,Dewas,Ayurvedic Store,D02,E10,2019-06-22,,45,Active
C0018,Maa Medical Store 18,Ujjain Road Belt,Dewas,Ayurvedic Store,D02,E11,2018-08-22,,45,Active
C0019,Shivam Medicos 19,Vijay Nagar,Indore,Ayurvedic Store,D01,E06,2020-01-06,,15,Active
C0020,Shree Pharmacy 20,Sarafa Bazaar,Indore,General Medical Store,D01,E07,2019-10-11,,30,Active
C0021,Krishna Medical Store 21,Bhawarkuan,Indore,Ayurvedic Store,D01,E08,2019-06-12,,15,Active
C0022,Shivam Medical Store 22,Annapurna Road,Dewas,Ayurvedic Store,D02,E09,2019-04-19,,45,Active
C0023,Om Ayurvedic Bhandar 23,Sanwer Road,Ujjain,General Medical Store,D02,E10,2019-02-05,,30,Active
C0024,Shivam Medicos 24,Dewas Naka,Indore,Standalone Pharmacy,D02,E11,2019-03-08,,15,Active
C0025,Shree Medical Store 25,Sarafa Bazaar,Indore,Standalone Pharmacy,D01,E06,2018-12-06,,30,Active
C0026,Jai Medicos 26,MG Road,Indore,Standalone Pharmacy,D01,E07,2021-12-18,2023-10-15,30,Closed
C0027,Om Medical Store 27,Rajwada,Indore,General Medical Store,D01,E08,2021-11-19,,45,Active
C0028,Krishna Ayurvedic Bhandar 28,Musakhedi,Dewas,Standalone Pharmacy,D02,E09,2021-02-11,,30,Active
C0029,Balaji Medicos 29,Sanwer Road,Ujjain,Standalone Pharmacy,D02,E10,2018-12-13,,30,Active
C0030,Om Ayurvedic Bhandar 30,Annapurna Road,Indore,Standalone Pharmacy,D02,E11,2019-02-16,,15,Active
C0031,Ganesh Ayurvedic Bhandar 31,Palasia,Indore,Standalone Pharmacy,D01,E06,2019-12-18,,15,Active
C0032,Ganesh Ayurvedic Bhandar 32,Sarafa Bazaar,Indore,Standalone Pharmacy,D01,E07,2018-08-06,2023-03-15,30,Closed
C0033,Krishna Pharmacy 33,Rajwada,Indore,Ayurvedic Store,D01,E08,2021-07-14,,30,Active
C0034,Shivam Medical Store 34,Musakhedi,Indore,Wellness Chain Outlet,D02,E09,2021-10-13,,30,Active
