DateKey,Date,Year,Quarter,Month,MonthName,MonthYear,Week,Day,DayOfWeek,IsWeekend,FiscalYear,Season,IsFestivalWindow
20220101,2022-01-01,2022,1,1,Jan,Jan-2022,52,1,Saturday,True,FY22,Winter,False
20220102,2022-01-02,2022,1,1,Jan,Jan-2022,52,2,Sunday,True,FY22,Winter,False
20220103,2022-01-03,2022,1,1,Jan,Jan-2022,1,3,Monday,False,FY22,Winter,False
20220104,2022-01-04,2022,1,1,Jan,Jan-2022,1,4,Tuesday,False,FY22,Winter,False
20220105,2022-01-05,2022,1,1,Jan,Jan-2022,1,5,Wednesday,False,FY22,Winter,False
20220106,2022-01-06,2022,1,1,Jan,Jan-2022,1,6,Thursday,False,FY22,Winter,False
20220107,2022-01-07,2022,1,1,Jan,Jan-2022,1,7,Friday,False,FY22,Winter,False
20220108,2022-01-08,2022,1,1,Jan,Jan-2022,1,8,Saturday,True,FY22,Winter,False
20220109,2022-01-09,2022,1,1,Jan,Jan-2022,1,9,Sunday,True,FY22,Winter,False
20220110,2022-01-10,2022,1,1,Jan,Jan-2022,2,10,Monday,False,FY22,Winter,False
20220111,2022-01-11,2022,1,1,Jan,Jan-2022,2,11,Tuesday,False,FY22,Winter,False
20220112,2022-01-12,2022,1,1,Jan,Jan-2022,2,12,Wednesday,False,FY22,Winter,False
20220113,2022-01-13,2022,1,1,Jan,Jan-2022,2,13,Thursday,False,FY22,Winter,False
20220114,2022-01-14,2022,1,1,Jan,Jan-2022,2,14,Friday,False,FY22,Winter,False
20220115,2022-01-15,2022,1,1,Jan,Jan-2022,2,15,Saturday,True,FY22,Winter,False
20220116,2022-01-16,2022,1,1,Jan,Jan-2022,2,16,Sunday,True,FY22,Winter,False
20220117,2022-01-17,2022,1,1,Jan,Jan-2022,3,17,Monday,False,FY22,Winter,False
20220118,2022-01-18,2022,1,1,Jan,Jan-2022,3,18,Tuesday,False,FY22,Winter,False
20220119,2022-01-19,2022,1,1,Jan,Jan-2022,3,19,Wednesday,False,FY22,Winter,False
20220120,2022-01-20,2022,1,1,Jan,Jan-2022,3,20,Thursday,False,FY22,Winter,False
20220121,2022-01-21,2022,1,1,Jan,Jan-2022,3,21,Friday,False,FY22,Winter,False
20220122,2022-01-22,2022,1,1,Jan,Jan-2022,3,22,Saturday,True,FY22,Winter,False
20220123,2022-01-23,2022,1,1,Jan,Jan-2022,3,23,Sunday,True,FY22,Winter,False
20220124,2022-01-24,2022,1,1,Jan,Jan-2022,4,24,Monday,False,FY22,Winter,False
20220125,2022-01-25,2022,1,1,Jan,Jan-2022,4,25,Tuesday,False,FY22,Winter,False
20220126,2022-01-26,2022,1,1,Jan,Jan-2022,4,26,Wednesday,False,FY22,Winter,False
20220127,2022-01-27,2022,1,1,Jan,Jan-2022,4,27,Thursday,False,FY22,Winter,False
20220128,2022-01-28,2022,1,1,Jan,Jan-2022,4,28,Friday,False,FY22,Winter,False
20220129,2022-01-29,2022,1,1,Jan,Jan-2022,4,29,Saturday,True,FY22,Winter,False
20220130,2022-01-30,2022,1,1,Jan,Jan-2022,4,30,Sunday,True,FY22,Winter,False
20220131,2022-01-31,2022,1,1,Jan,Jan-2022,5,31,Monday,False,FY22,Winter,False
20220201,2022-02-01,2022,1,2,Feb,Feb-2022,5,1,Tuesday,False,FY22,Winter,False
