PromotionID,PromotionName,PromotionType,StartDate,EndDate,ScopeType,DiscountScopeID,TargetDiscountPct,IsActive
PR01,Navratri 2022 Storewide Sale,Festival,2022-09-26,2022-10-05,All,,0.05,FALSE
PR02,Diwali Season 2022 Storewide Sale,Festival,2022-10-14,2022-10-27,All,,0.05,FALSE
PR03,Navratri-Dussehra 2023 Storewide Sale,Festival,2023-10-15,2023-10-24,All,,0.05,FALSE
PR04,Diwali Season 2023 Storewide Sale,Festival,2023-11-02,2023-11-15,All,,0.05,FALSE
PR05,Navratri 2024 Storewide Sale,Festival,2024-10-03,2024-10-12,All,,0.05,FALSE
PR06,Diwali Season 2024 Storewide Sale,Festival,2024-10-22,2024-11-04,All,,0.05,FALSE
PR07,Monsoon Digestive Care Push 2022,Seasonal,2022-07-01,2022-07-20,Product,P001,0.03,FALSE
PR08,Monsoon Digestive Care Push 2023,Seasonal,2023-07-01,2023-07-20,Product,P001,0.03,FALSE
PR09,Monsoon Digestive Care Push 2024,Seasonal,2024-07-01,2024-07-20,Product,P001,0.03,FALSE
PR10,Autumn Immunity Prep Push 2022,Seasonal,2022-09-01,2022-09-20,Product,P019,0.03,FALSE
PR11,Autumn Immunity Prep Push 2023,Seasonal,2023-09-01,2023-09-20,Product,P019,0.03,FALSE
PR12,Autumn Immunity Prep Push 2024,Seasonal,2024-09-01,2024-09-20,Product,P019,0.03,FALSE
PR13,Winter Chyawanprash Immunity Season 2022,Seasonal,2022-12-01,2022-12-20,Product,P021,0.03,FALSE
PR14,Winter Chyawanprash Immunity Season 2023,Seasonal,2023-12-01,2023-12-20,Product,P021,0.03,FALSE
PR15,Winter Chyawanprash Immunity Season 2024,Seasonal,2024-12-01,2024-12-20,Product,P021,0.03,FALSE
