MonthYear,Revenue,COGS,FixedOpex,VariableOpex,OperatingExpense,GrossProfit,NetProfit,GrossMarginPct,NetMarginPct
2022-01,1747179.85,1267126.41,264000,96094.89,360094.89,480053.44,119958.55,0.27,0.07
2022-02,1499678.15,1079937.37,264000,82482.3,346482.3,419740.78,73258.48,0.28,0.05
2022-03,911078.0,647041.32,264000,50109.29,314109.29,264036.68,-50072.61,0.29,-0.06
2022-04,1003470.0,723621.28,264000,55190.85,319190.85,279848.72,-39342.13,0.28,-0.04
2022-05,958701.3,661485.77,264000,52728.57,316728.57,297215.53,-19513.04,0.31,-0.02
2022-06,1239554.2,900124.88,264000,68175.48,332175.48,339429.32,7253.84,0.27,0.01
2022-07,1284384.8,911765.63,264000,70641.16,334641.16,372619.17,37978.0,0.29,0.03
2022-08,1336534.35,967260.17,264000,73509.39,337509.39,369274.18,31764.79,0.28,0.02
2022-09,1355159.15,976398.43,264000,74533.75,338533.75,378760.72,40226.97,0.28,0.03
2022-10,1641487.2,1194946.71,264000,90281.8,354281.8,446540.49,92258.7,0.27,0.06
2022-11,1910604.05,1380229.41,264000,105083.22,369083.22,530374.64,161291.41,0.28,0.08
2022-12,1993270.95,1413773.73,264000,109629.9,373629.9,579497.22,205867.32,0.29,0.1
2023-01,2053092.7,1536749.94,264000,112920.1,376920.1,516342.76,139422.66,0.25,0.07
2023-02,1831559.05,1381374.52,264000,100735.75,364735.75,450184.53,85448.78,0.25,0.05
2023-03,1212707.4,869708.04,264000,66698.91,330698.91,342999.36,12300.45,0.28,0.01
2023-04,1150593.9,830786.42,264000,63282.66,327282.66,319807.48,-7475.18,0.28,-0.01
2023-05,1172935.05,849451.53,264000,64511.43,328511.43,323483.52,-5027.91,0.28,-0.0
2023-06,1400054.7,1026039.52,264000,77003.01,341003.01,374015.18,33012.17,0.27,0.02
2023-07,1557116.65,1153789.58,264000,85641.42,349641.42,403327.07,53685.66,0.26,0.03
2023-08,1536585.9,1126737.17,264000,84512.22,348512.22,409848.73,61336.51,0.27,0.04
2023-09,1509892.9,1104385.02,264000,83044.11,347044.11,405507.88,58463.77,0.27,0.04
2023-10,1860447.95,1394402.2,264000,102324.64,366324.64,466045.75,99721.12,0.25,0.05
2023-11,2376808.8,1859332.51,264000,130724.48,394724.48,517476.29,122751.81,0.22,0.05
2023-12,2359260.9,1754517.55,264000,129759.35,393759.35,604743.35,210984.0,0.26,0.09
2024-01,2336808.85,1728972.64,264000,128524.49,392524.49,607836.21,215311.72,0.26,0.09
2024-02,2292537.0,1702978.8,264000,126089.54,390089.54,589558.2,199468.66,0.26,0.09
2024-03,1361506.05,984093.29,264000,74882.83,338882.83,377412.76,38529.93,0.28,0.03
2024-04,1403461.5,1005267.86,264000,77190.38,341190.38,398193.64,57003.26,0.28,0.04
2024-05,1396095.9,1013158.71,264000,76785.27,340785.27,382937.19,42151.92,0.27,0.03
2024-06,1759314.4,1290381.96,264000,96762.29,360762.29,468932.44,108170.15,0.27,0.06
2024-07,1847326.4,1367724.6,264000,101602.95,365602.95,479601.8,113998.85,0.26,0.06
2024-08,1912333.65,1409501.0,264000,105178.35,369178.35,502832.65,133654.3,0.26,0.07
2024-09,1799942.2,1319724.15,264000,98996.82,362996.82,480218.05,117221.23,0.27,0.07
2024-10,2312234.1,1712043.13,264000,127172.88,391172.88,600190.97,209018.09,0.26,0.09
2024-11,2664123.15,2002771.74,264000,146526.77,410526.77,661351.41,250824.63,0.25,0.09
2024-12,2719581.65,2024354.27,264000,149576.99,413576.99,695227.38,281650.39,0.26,0.1
