ProductID,WeekEnd,OpeningStock,Produced,Rejected,GoodProduced,Sold,ClosingStock
P001,2022-01-02,587,0,0,0,16,571
P001,2022-01-09,571,0,0,0,85,486
P001,2022-01-16,486,0,0,0,101,385
P001,2022-01-23,385,0,0,0,63,322
P001,2022-01-30,322,55,1,54,83,293
P001,2022-02-06,293,92,2,90,91,292
P001,2022-02-13,292,93,2,91,91,292
P001,2022-02-20,292,146,3,143,44,391
P001,2022-02-27,391,128,3,125,114,402
P001,2022-03-06,402,148,3,145,118,429
P001,2022-03-13,429,107,2,105,162,372
P001,2022-03-20,372,130,3,127,125,374
P001,2022-03-27,374,143,3,140,145,369
P001,2022-04-03,369,100,2,98,104,363
P001,2022-04-10,363,144,3,141,128,376
P001,2022-04-17,376,91,2,89,140,325
P001,2022-04-24,325,141,3,138,97,366
P001,2022-05-01,366,154,3,151,142,375
P001,2022-05-08,375,114,2,112,88,399
P001,2022-05-15,399,264,5,259,139,519
P001,2022-05-22,519,337,7,330,151,698
P001,2022-05-29,698,276,6,270,111,857
P001,2022-06-05,857,243,5,238,262,833
P001,2022-06-12,833,234,5,229,332,730
P001,2022-06-19,730,233,5,228,269,689
P001,2022-06-26,689,365,7,358,237,810
P001,2022-07-03,810,294,6,288,229,869
P001,2022-07-10,869,222,4,218,228,859
P001,2022-07-17,859,331,7,324,360,823
P001,2022-07-24,823,318,6,312,287,848
P001,2022-07-31,848,234,5,229,216,861
P001,2022-08-07,861,309,6,303,327,837
P001,2022-08-14,837,315,6,309,311,835
P001,2022-08-21,835,271,5,266,228,873
P001,2022-08-28,873,328,7,321,304,890
P001,2022-09-04,890,243,5,238,309,819
P001,2022-09-11,819,357,7,350,265,904
P001,2022-09-18,904,210,4,206,323,787
P001,2022-09-25,787,176,4,172,236,723
P001,2022-10-02,723,236,5,231,352,602
P001,2022-10-09,602,211,4,207,203,606
P001,2022-10-16,606,125,2,123,172,557
P001,2022-10-23,557,83,2,81,232,406
P001,2022-10-30,406,96,2,94,206,294
P001,2022-11-06,294,121,2,119,121,292
P001,2022-11-13,292,126,3,123,81,334
P001,2022-11-20,334,82,2,80,94,320
P001,2022-11-27,320,104,2,102,115,307
P001,2022-12-04,307,115,2,113,128,292
P001,2022-12-11,292,81,2,79,79,292
P001,2022-12-18,292,117,2,115,102,305
P001,2022-12-25,305,77,2,75,73,307
P001,2023-01-01,307,144,3,141,116,332
P001,2023-01-08,332,80,2,78,118,292
P001,2023-01-15,292,77,2,75,75,292
P001,2023-01-22,292,144,3,141,142,291
P001,2023-01-29,291,72,1,71,69,293
P001,2023-02-05,293,64,1,63,63,293
P001,2023-02-12,293,117,2,115,107,301
P001,2023-02-19,301,168,3,165,48,418
P001,2023-02-26,418,147,3,144,133,429
P001,2023-03-05,429,164,3,161,122,468
P001,2023-03-12,468,193,4,189,166,491
P001,2023-03-19,491,164,3,161,144,508
P001,2023-03-26,508,136,3,133,161,480
P001,2023-04-02,480,218,4,214,190,504
P001,2023-04-09,504,142,3,139,160,483
P001,2023-04-16,483,146,3,143,133,493
P001,2023-04-23,493,168,3,165,215,443
P001,2023-04-30,443,165,3,162,138,467
P001,2023-05-07,467,164,3,161,143,485
P001,2023-05-14,485,210,4,206,165,526
P001,2023-05-21,526,349,7,342,162,706
P001,2023-05-28,706,360,7,353,161,898
P001,2023-06-04,898,357,7,350,207,1041
P001,2023-06-11,1041,298,6,292,345,988
P001,2023-06-18,988,338,7,331,353,966
P001,2023-06-25,966,249,5,244,350,860
P001,2023-07-02,860,418,8,410,291,979
P001,2023-07-09,979,374,7,367,332,1014
P001,2023-07-16,1014,319,6,313,242,1085
P001,2023-07-23,1085,380,8,372,413,1044
P001,2023-07-30,1044,305,6,299,366,977
P001,2023-08-06,977,318,6,312,312,977
P001,2023-08-13,977,281,6,275,374,878
P001,2023-08-20,878,431,9,422,297,1003
P001,2023-08-27,1003,356,7,349,312,1040
