BatchID,ProductID,ProductionWeekEnd,QuantityProduced,RejectQty,GoodQty,RawMaterialCost,LaborCost,OverheadCost,TotalProductionCost,UnitProductionCost
B000001,P001,2022-01-30,55,1,54,1793.0,268.95,179.3,2241.25,40.75
B000002,P001,2022-02-06,92,2,90,2999.2,449.88,299.92,3749.0,40.75
B000003,P001,2022-02-13,93,2,91,3031.8,454.77,303.18,3789.75,40.75
B000004,P001,2022-02-20,146,3,143,4759.6,713.94,475.96,5949.5,40.75
B000005,P001,2022-02-27,128,3,125,4172.8,625.92,417.28,5216.0,40.75
B000006,P001,2022-03-06,148,3,145,4824.8,723.72,482.48,6031.0,40.75
B000007,P001,2022-03-13,107,2,105,3488.2,523.23,348.82,4360.25,40.75
B000008,P001,2022-03-20,130,3,127,4238.0,635.7,423.8,5297.5,40.75
B000009,P001,2022-03-27,143,3,140,4661.8,699.27,466.18,5827.25,40.75
B000010,P001,2022-04-03,100,2,98,3260.0,489.0,326.0,4075.0,40.75
B000011,P001,2022-04-10,144,3,141,4694.4,704.16,469.44,5868.0,40.75
B000012,P001,2022-04-17,91,2,89,2966.6,444.99,296.66,3708.25,40.75
B000013,P001,2022-04-24,141,3,138,4596.6,689.49,459.66,5745.75,40.75
B000014,P001,2022-05-01,154,3,151,5020.4,753.06,502.04,6275.5,40.75
B000015,P001,2022-05-08,114,2,112,3716.4,557.46,371.64,4645.5,40.75
B000016,P001,2022-05-15,264,5,259,8606.4,1290.96,860.64,10758.0,40.75
B000017,P001,2022-05-22,337,7,330,10986.2,1647.93,1098.62,13732.75,40.75
B000018,P001,2022-05-29,276,6,270,8997.6,1349.64,899.76,11247.0,40.75
B000019,P001,2022-06-05,243,5,238,7921.8,1188.27,792.18,9902.25,40.75
B000020,P001,2022-06-12,234,5,229,7628.4,1144.26,762.84,9535.5,40.75
B000021,P001,2022-06-19,233,5,228,7595.8,1139.37,759.58,9494.75,40.75
B000022,P001,2022-06-26,365,7,358,11899.0,1784.85,1189.9,14873.75,40.75
B000023,P001,2022-07-03,294,6,288,9584.4,1437.66,958.44,11980.5,40.75
B000024,P001,2022-07-10,222,4,218,7237.2,1085.58,723.72,9046.5,40.75
B000025,P001,2022-07-17,331,7,324,10790.6,1618.59,1079.06,13488.25,40.75
B000026,P001,2022-07-24,318,6,312,10366.8,1555.02,1036.68,12958.5,40.75
B000027,P001,2022-07-31,234,5,229,7628.4,1144.26,762.84,9535.5,40.75
B000028,P001,2022-08-07,309,6,303,10073.4,1511.01,1007.34,12591.75,40.75
B000029,P001,2022-08-14,315,6,309,10269.0,1540.35,1026.9,12836.25,40.75
B000030,P001,2022-08-21,271,5,266,8834.6,1325.19,883.46,11043.25,40.75
B000031,P001,2022-08-28,328,7,321,10692.8,1603.92,1069.28,13366.0,40.75
B000032,P001,2022-09-04,243,5,238,7921.8,1188.27,792.18,9902.25,40.75
B000033,P001,2022-09-11,357,7,350,11638.2,1745.73,1163.82,14547.75,40.75
B000034,P001,2022-09-18,210,4,206,6846.0,1026.9,684.6,8557.5,40.75
B000035,P001,2022-09-25,176,4,172,5737.6,860.64,573.76,7172.0,40.75
B000036,P001,2022-10-02,236,5,231,7693.6,1154.04,769.36,9617.0,40.75
B000037,P001,2022-10-09,211,4,207,6878.6,1031.79,687.86,8598.25,40.75
B000038,P001,2022-10-16,125,2,123,4075.0,611.25,407.5,5093.75,40.75
B000039,P001,2022-10-23,83,2,81,2705.8,405.87,270.58,3382.25,40.75
B000040,P001,2022-10-30,96,2,94,3129.6,469.44,312.96,3912.0,40.75
B000041,P001,2022-11-06,121,2,119,3944.6,591.69,394.46,4930.75,40.75
B000042,P001,2022-11-13,126,3,123,4107.6,616.14,410.76,5134.5,40.75
B000043,P001,2022-11-20,82,2,80,2673.2,400.98,267.32,3341.5,40.75
B000044,P001,2022-11-27,104,2,102,3390.4,508.56,339.04,4238.0,40.75
B000045,P001,2022-12-04,115,2,113,3749.0,562.35,374.9,4686.25,40.75
B000046,P001,2022-12-11,81,2,79,2640.6,396.09,264.06,3300.75,40.75
B000047,P001,2022-12-18,117,2,115,3814.2,572.13,381.42,4767.75,40.75
B000048,P001,2022-12-25,77,2,75,2510.2,376.53,251.02,3137.75,40.75
B000049,P001,2023-01-01,144,3,141,4694.4,704.16,469.44,5868.0,40.75
B000050,P001,2023-01-08,80,2,78,2608.0,391.2,260.8,3260.0,40.75
B000051,P001,2023-01-15,77,2,75,2510.2,376.53,251.02,3137.75,40.75
B000052,P001,2023-01-22,144,3,141,4694.4,704.16,469.44,5868.0,40.75
B000053,P001,2023-01-29,72,1,71,2347.2,352.08,234.72,2934.0,40.75
B000054,P001,2023-02-05,64,1,63,2086.4,312.96,208.64,2608.0,40.75
B000055,P001,2023-02-12,117,2,115,3814.2,572.13,381.42,4767.75,40.75
B000056,P001,2023-02-19,168,3,165,5476.8,821.52,547.68,6846.0,40.75
B000057,P001,2023-02-26,147,3,144,4792.2,718.83,479.22,5990.25,40.75
B000058,P001,2023-03-05,164,3,161,5346.4,801.96,534.64,6683.0,40.75
B000059,P001,2023-03-12,193,4,189,6291.8,943.77,629.18,7864.75,40.75
B000060,P001,2023-03-19,164,3,161,5346.4,801.96,534.64,6683.0,40.75
B000061,P001,2023-03-26,136,3,133,4433.6,665.04,443.36,5542.0,40.75
B000062,P001,2023-04-02,218,4,214,7106.8,1066.02,710.68,8883.5,40.75
B000063,P001,2023-04-09,142,3,139,4629.2,694.38,462.92,5786.5,40.75
B000064,P001,2023-04-16,146,3,143,4759.6,713.94,475.96,5949.5,40.75
B000065,P001,2023-04-23,168,3,165,5476.8,821.52,547.68,6846.0,40.75
B000066,P001,2023-04-30,165,3,162,5379.0,806.85,537.9,6723.75,40.75
B000067,P001,2023-05-07,164,3,161,5346.4,801.96,534.64,6683.0,40.75
B000068,P001,2023-05-14,210,4,206,6846.0,1026.9,684.6,8557.5,40.75
B000069,P001,2023-05-21,349,7,342,11377.4,1706.61,1137.74,14221.75,40.75
B000070,P001,2023-05-28,360,7,353,11736.0,1760.4,1173.6,14670.0,40.75
B000071,P001,2023-06-04,357,7,350,11638.2,1745.73,1163.82,14547.75,40.75
B000072,P001,2023-06-11,298,6,292,9714.8,1457.22,971.48,12143.5,40.75
B000073,P001,2023-06-18,338,7,331,11018.8,1652.82,1101.88,13773.5,40.75
B000074,P001,2023-06-25,249,5,244,8117.4,1217.61,811.74,10146.75,40.75
B000075,P001,2023-07-02,418,8,410,13626.8,2044.02,1362.68,17033.5,40.75
B000076,P001,2023-07-09,374,7,367,12192.4,1828.86,1219.24,15240.5,40.75
B000077,P001,2023-07-16,319,6,313,10399.4,1559.91,1039.94,12999.25,40.75
B000078,P001,2023-07-23,380,8,372,12388.0,1858.2,1238.8,15485.0,40.75
B000079,P001,2023-07-30,305,6,299,9943.0,1491.45,994.3,12428.75,40.75
B000080,P001,2023-08-06,318,6,312,10366.8,1555.02,1036.68,12958.5,40.75
B000081,P001,2023-08-13,281,6,275,9160.6,1374.09,916.06,11450.75,40.75
B000082,P001,2023-08-20,431,9,422,14050.6,2107.59,1405.06,17563.25,40.75
B000083,P001,2023-08-27,356,7,349,11605.6,1740.84,1160.56,14507.0,40.75
B000084,P001,2023-09-03,389,8,381,12681.4,1902.21,1268.14,15851.75,40.75
B000085,P001,2023-09-10,273,5,268,8899.8,1334.97,889.98,11124.75,40.75
B000086,P001,2023-09-17,180,4,176,5868.0,880.2,586.8,7335.0,40.75
B000087,P001,2023-09-24,143,3,140,4661.8,699.27,466.18,5827.25,40.75
B000088,P001,2023-10-01,224,4,220,7302.4,1095.36,730.24,9128.0,40.75
B000089,P001,2023-10-08,112,2,110,3651.2,547.68,365.12,4564.0,40.75
B000090,P001,2023-10-15,119,2,117,3879.4,581.91,387.94,4849.25,40.75
B000091,P001,2023-10-22,99,2,97,3227.4,484.11,322.74,4034.25,40.75
B000092,P001,2023-10-29,134,3,131,4368.4,655.26,436.84,5460.5,40.75
