MaterialID,WeekEnd,OpeningStock,Received,Consumed,ClosingStock
M01,2022-01-30,116.7,0.0,5.2,111.5
M01,2022-02-06,111.5,0.0,8.7,102.7
M01,2022-02-13,102.7,0.0,8.8,93.9
M01,2022-02-20,93.9,0.0,13.9,80.0
M01,2022-02-27,80.0,0.0,12.2,67.9
M01,2022-03-06,67.9,60.0,14.1,113.8
M01,2022-03-13,113.8,0.0,10.2,103.6
M01,2022-03-20,103.6,0.0,12.4,91.3
M01,2022-03-27,91.3,0.0,13.6,77.7
M01,2022-04-03,77.7,0.0,9.5,68.2
M01,2022-04-10,68.2,60.0,13.7,114.5
M01,2022-04-17,114.5,0.0,8.6,105.9
M01,2022-04-24,105.9,0.0,13.4,92.5
M01,2022-05-01,92.5,0.0,14.6,77.9
M01,2022-05-08,77.9,60.0,10.8,127.0
M01,2022-05-15,127.0,0.0,25.1,102.0
M01,2022-05-22,102.0,60.0,32.0,129.9
M01,2022-05-29,129.9,0.0,26.2,103.7
M01,2022-06-05,103.7,0.0,23.1,80.6
M01,2022-06-12,80.6,70.0,22.2,128.4
M01,2022-06-19,128.4,0.0,22.1,106.3
M01,2022-06-26,106.3,60.0,34.7,131.6
M01,2022-07-03,131.6,0.0,27.9,103.7
M01,2022-07-10,103.7,0.0,21.1,82.6
M01,2022-07-17,82.6,80.0,31.4,131.1
M01,2022-07-24,131.1,0.0,30.2,100.9
M01,2022-07-31,100.9,0.0,22.2,78.7
M01,2022-08-07,78.7,80.0,29.4,129.3
M01,2022-08-14,129.3,0.0,29.9,99.4
M01,2022-08-21,99.4,60.0,25.7,133.7
M01,2022-08-28,133.7,0.0,31.2,102.5
M01,2022-09-04,102.5,60.0,23.1,139.4
M01,2022-09-11,139.4,0.0,33.9,105.5
M01,2022-09-18,105.5,0.0,20.0,85.5
M01,2022-09-25,85.5,60.0,16.7,128.8
M01,2022-10-02,128.8,0.0,22.4,106.4
M01,2022-10-09,106.4,0.0,20.0,86.4
M01,2022-10-16,86.4,0.0,11.9,74.5
M01,2022-10-23,74.5,0.0,7.9,66.6
M01,2022-10-30,66.6,60.0,9.1,117.5
M01,2022-11-06,117.5,0.0,11.5,106.0
M01,2022-11-13,106.0,0.0,12.0,94.0
M01,2022-11-20,94.0,0.0,7.8,86.2
M01,2022-11-27,86.2,0.0,9.9,76.3
M01,2022-12-04,76.3,0.0,10.9,65.4
M01,2022-12-11,65.4,60.0,7.7,117.7
M01,2022-12-18,117.7,0.0,11.1,106.6
M01,2022-12-25,106.6,0.0,7.3,99.3
M01,2023-01-01,99.3,0.0,13.7,85.6
M01,2023-01-08,85.6,0.0,7.6,78.0
M01,2023-01-15,78.0,0.0,7.3,70.7
M01,2023-01-22,70.7,0.0,13.7,57.0
M01,2023-01-29,57.0,60.0,6.8,110.2
M01,2023-02-05,110.2,0.0,6.1,104.1
M01,2023-02-12,104.1,0.0,11.1,93.0
M01,2023-02-19,93.0,0.0,16.0,77.0
M01,2023-02-26,77.0,50.0,14.0,113.1
M01,2023-03-05,113.1,0.0,15.6,97.5
M01,2023-03-12,97.5,0.0,18.3,79.1
M01,2023-03-19,79.1,0.0,15.6,63.6
M01,2023-03-26,63.6,70.0,12.9,120.6
M01,2023-04-02,120.6,0.0,20.7,99.9
M01,2023-04-09,99.9,0.0,13.5,86.4
M01,2023-04-16,86.4,0.0,13.9,72.6
M01,2023-04-23,72.6,60.0,16.0,116.6
M01,2023-04-30,116.6,0.0,15.7,100.9
M01,2023-05-07,100.9,0.0,15.6,85.4
M01,2023-05-14,85.4,70.0,20.0,135.4
M01,2023-05-21,135.4,0.0,33.2,102.3
M01,2023-05-28,102.3,70.0,34.2,138.1
M01,2023-06-04,138.1,0.0,33.9,104.1
M01,2023-06-11,104.1,60.0,28.3,135.8
M01,2023-06-18,135.8,0.0,32.1,103.7
M01,2023-06-25,103.7,60.0,23.7,140.1
M01,2023-07-02,140.1,0.0,39.7,100.4
M01,2023-07-09,100.4,70.0,35.5,134.8
M01,2023-07-16,134.8,0.0,30.3,104.5
M01,2023-07-23,104.5,60.0,36.1,128.4
M01,2023-07-30,128.4,0.0,29.0,99.4
M01,2023-08-06,99.4,60.0,30.2,129.2
M01,2023-08-13,129.2,0.0,26.7,102.5
M01,2023-08-20,102.5,0.0,40.9,61.6
M01,2023-08-27,61.6,70.0,33.8,97.8
M01,2023-09-03,97.8,70.0,37.0,130.8
M01,2023-09-10,130.8,0.0,25.9,104.9
M01,2023-09-17,104.9,0.0,17.1,87.8
M01,2023-09-24,87.8,0.0,13.6,74.2
M01,2023-10-01,74.2,0.0,21.3,52.9
M01,2023-10-08,52.9,60.0,10.6,102.3
M01,2023-10-15,102.3,0.0,11.3,91.0
M01,2023-10-22,91.0,0.0,9.4,81.6
M01,2023-10-29,81.6,0.0,12.7,68.8
M01,2023-11-05,68.8,0.0,10.0,58.9
M01,2023-11-12,58.9,60.0,6.0,112.9
M01,2023-11-19,112.9,0.0,12.5,100.3
M01,2023-11-26,100.3,0.0,10.0,90.4
M01,2023-12-03,90.4,0.0,7.9,82.5
M01,2023-12-10,82.5,0.0,10.9,71.6
M01,2023-12-17,71.6,0.0,6.6,64.9
M01,2023-12-24,64.9,60.0,14.8,110.1
M01,2023-12-31,110.1,0.0,9.8,100.3
M01,2024-01-07,100.3,0.0,9.1,91.2
M01,2024-01-14,91.2,0.0,9.7,81.5
M01,2024-01-21,81.5,0.0,9.7,71.8
M01,2024-01-28,71.8,0.0,9.1,62.7
M01,2024-02-04,62.7,60.0,8.1,114.6
M01,2024-02-11,114.6,0.0,9.5,105.1
M01,2024-02-18,105.1,0.0,25.1,80.0
M01,2024-02-25,80.0,0.0,15.9,64.2
M01,2024-03-03,64.2,70.0,13.8,120.4
M01,2024-03-10,120.4,0.0,15.1,105.3
M01,2024-03-17,105.3,0.0,18.2,87.0
M01,2024-03-24,87.0,0.0,21.8,65.2
M01,2024-03-31,65.2,70.0,15.6,119.6
M01,2024-04-07,119.6,0.0,20.4,99.2
M01,2024-04-14,99.2,0.0,16.4,82.8
M01,2024-04-21,82.8,50.0,19.3,113.5
M01,2024-04-28,113.5,0.0,15.5,98.0
M01,2024-05-05,98.0,0.0,13.6,84.4
M01,2024-05-12,84.4,70.0,20.6,133.8
M01,2024-05-19,133.8,0.0,34.4,99.4
M01,2024-05-26,99.4,80.0,43.4,136.0
M01,2024-06-02,136.0,0.0,33.7,102.3
M01,2024-06-09,102.3,80.0,26.0,156.2
M01,2024-06-16,156.2,0.0,50.0,106.3
M01,2024-06-23,106.3,50.0,29.1,127.2
M01,2024-06-30,127.2,0.0,29.3,97.9
M01,2024-07-07,97.9,70.0,26.7,141.2
M01,2024-07-14,141.2,0.0,34.6,106.7
M01,2024-07-21,106.7,60.0,31.6,135.0
M01,2024-07-28,135.0,0.0,37.3,97.7
M01,2024-08-04,97.7,90.0,39.4,148.3
M01,2024-08-11,148.3,0.0,46.4,101.9
M01,2024-08-18,101.9,60.0,21.1,140.8
M01,2024-08-25,140.8,0.0,43.0,97.8
M01,2024-09-01,97.8,90.0,41.8,146.0
M01,2024-09-08,146.0,0.0,40.4,105.6
M01,2024-09-15,105.6,0.0,24.9,80.7
M01,2024-09-22,80.7,0.0,18.0,62.7
M01,2024-09-29,62.7,0.0,12.6,50.0
M01,2024-10-06,50.0,80.0,23.5,106.6
M01,2024-10-13,106.6,0.0,16.2,90.3
M01,2024-10-20,90.3,0.0,11.9,78.4
M01,2024-10-27,78.4,0.0,10.2,68.3
M01,2024-11-03,68.3,50.0,7.9,110.4
M01,2024-11-10,110.4,0.0,12.3,98.1
M01,2024-11-17,98.1,0.0,10.8,87.3
M01,2024-11-24,87.3,0.0,9.3,78.0
M01,2024-12-01,78.0,0.0,16.0,62.0
M01,2024-12-08,62.0,60.0,11.4,110.6
M01,2024-12-15,110.6,0.0,3.5,107.1
M01,2024-12-22,107.1,0.0,13.6,93.5
M01,2024-12-29,93.5,0.0,11.4,82.1
M01,2025-01-05,82.1,0.0,31.4,50.8
M02,2022-02-06,114.5,0.0,5.7,108.8
M02,2022-02-13,108.8,0.0,6.7,102.1
M02,2022-02-20,102.1,0.0,13.8,88.3
M02,2022-02-27,88.3,0.0,12.5,75.7
M02,2022-03-06,75.7,0.0,10.8,64.9
M02,2022-03-13,64.9,60.0,11.4,113.5
M02,2022-03-20,113.5,0.0,16.2,97.3
M02,2022-03-27,97.3,0.0,14.5,82.7
M02,2022-04-03,82.7,0.0,9.8,72.9
M02,2022-04-10,72.9,0.0,13.9,59.1
M02,2022-04-17,59.1,60.0,10.6,108.4
M02,2022-04-24,108.4,0.0,12.4,96.0
M02,2022-05-01,96.0,0.0,12.2,83.8
M02,2022-05-08,83.8,0.0,12.6,71.2
M02,2022-05-15,71.2,70.0,23.5,117.7
M02,2022-05-22,117.7,0.0,22.1,95.6
M02,2022-05-29,95.6,70.0,25.3,140.3
M02,2022-06-05,140.3,0.0,37.2,103.1
M02,2022-06-12,103.1,50.0,27.3,125.8
M02,2022-06-19,125.8,0.0,29.7,96.1
M02,2022-06-26,96.1,60.0,25.8,130.2
M02,2022-07-03,130.2,0.0,27.4,102.9
M02,2022-07-10,102.9,60.0,33.1,129.8
M02,2022-07-17,129.8,0.0,28.5,101.3
M02,2022-07-24,101.3,50.0,30.1,121.2
M02,2022-07-31,121.2,0.0,25.1,96.1
M02,2022-08-07,96.1,70.0,28.4,137.7
M02,2022-08-14,137.7,0.0,32.7,105.0
M02,2022-08-21,105.0,0.0,21.1,84.0
M02,2022-08-28,84.0,60.0,18.9,125.0
M02,2022-09-04,125.0,0.0,20.6,104.4
M02,2022-09-11,104.4,0.0,23.6,80.9
M02,2022-09-18,80.9,50.0,17.7,113.2
M02,2022-09-25,113.2,0.0,15.6,97.6
M02,2022-10-02,97.6,0.0,20.1,77.5
M02,2022-10-09,77.5,0.0,9.1,68.4
M02,2022-10-16,68.4,0.0,6.6,61.7
M02,2022-10-23,61.7,60.0,12.1,109.6
M02,2022-10-30,109.6,0.0,9.0,100.6
M02,2022-11-06,100.6,0.0,8.0,92.6
M02,2022-11-13,92.6,0.0,9.1,83.5
M02,2022-11-20,83.5,0.0,7.7,75.8
M02,2022-11-27,75.8,0.0,10.9,64.9
M02,2022-12-04,64.9,0.0,6.6,58.3
M02,2022-12-11,58.3,60.0,7.1,111.1
M02,2022-12-18,111.1,0.0,10.4,100.8
M02,2022-12-25,100.8,0.0,6.5,94.3
M02,2023-01-01,94.3,0.0,9.7,84.6
M02,2023-01-08,84.6,0.0,8.2,76.5
M02,2023-01-15,76.5,0.0,9.2,67.2
M02,2023-01-22,67.2,0.0,7.5,59.7
M02,2023-01-29,59.7,60.0,8.9,110.8
M02,2023-02-05,110.8,0.0,6.8,104.0
M02,2023-02-12,104.0,0.0,8.8,95.1
M02,2023-02-19,95.1,0.0,8.6,86.5
M02,2023-02-26,86.5,0.0,12.4,74.0
M02,2023-03-05,74.0,60.0,16.1,118.0
M02,2023-03-12,118.0,0.0,15.1,102.9
M02,2023-03-19,102.9,0.0,13.2,89.7
M02,2023-03-26,89.7,0.0,13.4,76.3
M02,2023-04-02,76.3,60.0,17.3,119.0
M02,2023-04-09,119.0,0.0,15.4,103.6
M02,2023-04-16,103.6,0.0,12.4,91.2
M02,2023-04-23,91.2,0.0,14.6,76.6
M02,2023-04-30,76.6,60.0,17.1,119.5
M02,2023-05-07,119.5,0.0,17.0,102.5
M02,2023-05-14,102.5,0.0,30.1,72.4
M02,2023-05-21,72.4,80.0,21.8,130.6
M02,2023-05-28,130.6,0.0,32.7,98.0
M02,2023-06-04,98.0,70.0,34.9,133.1
M02,2023-06-11,133.1,0.0,32.2,100.9
M02,2023-06-18,100.9,70.0,33.7,137.2
M02,2023-06-25,137.2,0.0,39.1,98.0
M02,2023-07-02,98.0,60.0,26.8,131.2
M02,2023-07-09,131.2,0.0,34.8,96.5
M02,2023-07-16,96.5,70.0,25.6,140.8
M02,2023-07-23,140.8,0.0,41.5,99.3
M02,2023-07-30,99.3,60.0,29.7,129.6
M02,2023-08-06,129.6,0.0,24.2,105.3
M02,2023-08-13,105.3,60.0,32.0,133.3
M02,2023-08-20,133.3,0.0,29.4,103.9
M02,2023-08-27,103.9,70.0,42.5,131.4
M02,2023-09-03,131.4,0.0,30.1,101.3
M02,2023-09-10,101.3,0.0,35.8,65.5
M02,2023-09-17,65.5,60.0,10.1,115.4
M02,2023-09-24,115.4,0.0,10.8,104.6
M02,2023-10-01,104.6,0.0,21.6,83.0
M02,2023-10-08,83.0,0.0,15.9,67.2
M02,2023-10-15,67.2,60.0,13.8,113.4
M02,2023-10-22,113.4,0.0,8.4,105.0
M02,2023-10-29,105.0,0.0,6.9,98.1
M02,2023-11-05,98.1,0.0,12.4,85.6
M02,2023-11-12,85.6,0.0,8.4,77.3
M02,2023-11-19,77.3,0.0,6.9,70.3
M02,2023-11-26,70.3,0.0,4.7,65.7
M02,2023-12-03,65.7,60.0,10.6,115.0
M02,2023-12-10,115.0,0.0,10.9,104.1
M02,2023-12-17,104.1,0.0,7.6,96.5
M02,2023-12-24,96.5,0.0,7.2,89.3
M02,2023-12-31,89.3,0.0,8.5,80.8
M02,2024-01-07,80.8,0.0,12.1,68.8
M02,2024-01-14,68.8,0.0,2.8,66.0
M02,2024-01-21,66.0,0.0,6.0,60.0
M02,2024-01-28,60.0,60.0,11.1,108.9
M02,2024-02-04,108.9,0.0,8.4,100.6
M02,2024-02-11,100.6,0.0,8.2,92.4
M02,2024-02-18,92.4,0.0,19.1,73.3
M02,2024-02-25,73.3,70.0,15.0,128.3
M02,2024-03-03,128.3,0.0,23.1,105.2
M02,2024-03-10,105.2,0.0,20.3,84.9
M02,2024-03-17,84.9,0.0,14.8,70.1
M02,2024-03-24,70.1,60.0,13.4,116.7
M02,2024-03-31,116.7,0.0,15.9,100.8
M02,2024-04-07,100.8,0.0,18.0,82.8
M02,2024-04-14,82.8,0.0,16.2,66.6
M02,2024-04-21,66.6,60.0,12.7,113.9
M02,2024-04-28,113.9,0.0,13.4,100.5
M02,2024-05-05,100.5,0.0,16.7,83.8
M02,2024-05-12,83.8,80.0,18.7,145.0
M02,2024-05-19,145.0,0.0,44.6,100.5
M02,2024-05-26,100.5,70.0,39.0,131.5
M02,2024-06-02,131.5,0.0,34.5,97.0
M02,2024-06-09,97.0,80.0,36.9,140.2
M02,2024-06-16,140.2,0.0,43.6,96.6
M02,2024-06-23,96.6,80.0,41.1,135.4
M02,2024-06-30,135.4,0.0,37.3,98.1
M02,2024-07-07,98.1,80.0,39.8,138.3
M02,2024-07-14,138.3,0.0,34.6,103.7
M02,2024-07-21,103.7,80.0,31.2,152.6
M02,2024-07-28,152.6,0.0,48.4,104.1
M02,2024-08-04,104.1,60.0,23.9,140.2
M02,2024-08-11,140.2,0.0,42.7,97.5
M02,2024-08-18,97.5,80.0,33.2,144.3
M02,2024-08-25,144.3,0.0,40.6,103.7
M02,2024-09-01,103.7,80.0,42.1,141.6
M02,2024-09-08,141.6,0.0,37.0,104.6
M02,2024-09-15,104.6,0.0,25.5,79.1
M02,2024-09-22,79.1,60.0,20.6,118.5
M02,2024-09-29,118.5,0.0,14.3,104.2
M02,2024-10-06,104.2,0.0,20.6,83.5
M02,2024-10-13,83.5,0.0,13.1,70.4
M02,2024-10-20,70.4,50.0,14.4,106.0
M02,2024-10-27,106.0,0.0,9.7,96.3
M02,2024-11-03,96.3,0.0,11.9,84.4
M02,2024-11-10,84.4,0.0,6.3,78.2
M02,2024-11-17,78.2,0.0,9.5,68.7
M02,2024-11-24,68.7,0.0,11.9,56.8
M02,2024-12-01,56.8,60.0,6.0,110.8
M02,2024-12-08,110.8,0.0,9.5,101.3
M02,2024-12-15,101.3,0.0,4.2,97.1
M02,2024-12-22,97.1,0.0,9.8,87.3
M02,2024-12-29,87.3,60.0,13.7,133.6
M02,2025-01-05,133.6,0.0,30.0,103.6
M03,2022-01-02,213.8,0.0,35.6,178.2
M03,2022-01-09,178.2,0.0,26.2,152.0
M03,2022-01-16,152.0,0.0,23.1,128.9
M03,2022-01-23,128.9,0.0,21.9,106.9
M03,2022-01-30,106.9,0.0,13.1,93.8
M03,2022-02-06,93.8,0.0,29.3,64.6
M03,2022-02-13,64.6,0.0,11.8,52.8
M03,2022-02-20,52.8,0.0,5.6,47.2
M03,2022-02-27,47.2,50.0,10.0,87.2
M03,2022-03-06,87.2,0.0,9.8,77.4
M03,2022-03-13,77.4,0.0,5.7,71.7
M03,2022-03-20,71.7,0.0,9.9,61.8
M03,2022-03-27,61.8,0.0,8.7,53.1
M03,2022-04-03,53.1,50.0,9.6,93.5
M03,2022-04-10,93.5,0.0,7.8,85.7
M03,2022-04-17,85.7,0.0,8.1,77.6
M03,2022-04-24,77.6,0.0,9.6,68.0
M03,2022-05-01,68.0,0.0,7.8,60.2
M03,2022-05-08,60.2,0.0,7.4,52.8
M03,2022-05-15,52.8,50.0,8.4,94.5
M03,2022-05-22,94.5,0.0,7.8,86.7
M03,2022-05-29,86.7,0.0,11.9,74.8
M03,2022-06-05,74.8,0.0,10.4,64.5
M03,2022-06-12,64.5,0.0,11.8,52.7
M03,2022-06-19,52.7,60.0,9.3,103.4
M03,2022-06-26,103.4,0.0,11.3,92.1
M03,2022-07-03,92.1,0.0,6.7,85.3
M03,2022-07-10,85.3,0.0,14.3,71.0
M03,2022-07-17,71.0,0.0,7.4,63.6
M03,2022-07-24,63.6,50.0,9.8,103.8
M03,2022-07-31,103.8,0.0,12.6,91.1
M03,2022-08-07,91.1,0.0,12.2,79.0
M03,2022-08-14,79.0,0.0,3.7,75.3
M03,2022-08-21,75.3,0.0,14.5,60.7
M03,2022-08-28,60.7,0.0,9.2,51.5
M03,2022-09-04,51.5,60.0,8.9,102.6
M03,2022-09-11,102.6,0.0,11.0,91.6
M03,2022-09-18,91.6,0.0,12.8,78.7
M03,2022-09-25,78.7,0.0,13.0,65.7
M03,2022-10-02,65.7,60.0,20.6,105.1
M03,2022-10-09,105.1,0.0,14.2,91.0
M03,2022-10-16,91.0,0.0,20.5,70.4
M03,2022-10-23,70.4,70.0,25.3,115.2
M03,2022-10-30,115.2,0.0,21.5,93.7
M03,2022-11-06,93.7,60.0,33.9,119.8
M03,2022-11-13,119.8,0.0,31.8,88.0
M03,2022-11-20,88.0,60.0,24.5,123.5
M03,2022-11-27,123.5,0.0,31.4,92.0
M03,2022-12-04,92.0,50.0,22.9,119.1
M03,2022-12-11,119.1,0.0,27.8,91.3
M03,2022-12-18,91.3,50.0,22.3,119.0
M03,2022-12-25,119.0,0.0,31.3,87.7
M03,2023-01-01,87.7,60.0,28.0,119.7
M03,2023-01-08,119.7,0.0,25.4,94.3
M03,2023-01-15,94.3,0.0,25.6,68.8
M03,2023-01-22,68.8,70.0,19.1,119.7
M03,2023-01-29,119.7,0.0,33.0,86.7
M03,2023-02-05,86.7,0.0,31.0,55.7
M03,2023-02-12,55.7,60.0,10.8,104.9
M03,2023-02-19,104.9,0.0,12.4,92.4
M03,2023-02-26,92.4,0.0,8.2,84.3
M03,2023-03-05,84.3,0.0,10.9,73.4
M03,2023-03-12,73.4,0.0,11.2,62.1
M03,2023-03-19,62.1,0.0,9.0,53.1
M03,2023-03-26,53.1,60.0,8.5,104.7
M03,2023-04-02,104.7,0.0,11.3,93.4
M03,2023-04-09,93.4,0.0,8.7,84.6
M03,2023-04-16,84.6,0.0,8.2,76.4
M03,2023-04-23,76.4,0.0,9.2,67.2
M03,2023-04-30,67.2,0.0,8.1,59.2
M03,2023-05-07,59.2,50.0,8.7,100.4
M03,2023-05-14,100.4,0.0,9.4,91.0
M03,2023-05-21,91.0,0.0,12.5,78.5
M03,2023-05-28,78.5,0.0,8.8,69.6
M03,2023-06-04,69.6,0.0,10.6,59.0
M03,2023-06-11,59.0,60.0,12.2,106.8
M03,2023-06-18,106.8,0.0,13.5,93.3
M03,2023-06-25,93.3,0.0,8.3,85.1
M03,2023-07-02,85.1,0.0,11.3,73.8
M03,2023-07-09,73.8,0.0,11.5,62.3
M03,2023-07-16,62.3,50.0,9.3,103.0
M03,2023-07-23,103.0,0.0,11.4,91.6
M03,2023-07-30,91.6,0.0,13.2,78.4
M03,2023-08-06,78.4,0.0,8.3,70.1
M03,2023-08-13,70.1,0.0,8.1,62.0
M03,2023-08-20,62.0,50.0,9.2,102.8
M03,2023-08-27,102.8,0.0,10.6,92.2
M03,2023-09-03,92.2,0.0,12.0,80.2
M03,2023-09-10,80.2,0.0,9.8,70.4
M03,2023-09-17,70.4,50.0,15.7,104.7
M03,2023-09-24,104.7,0.0,12.9,91.8
M03,2023-10-01,91.8,0.0,16.3,75.5
M03,2023-10-08,75.5,50.0,9.2,116.3
M03,2023-10-15,116.3,0.0,27.7,88.5
M03,2023-10-22,88.5,70.0,33.9,124.6
M03,2023-10-29,124.6,0.0,36.5,88.1
M03,2023-11-05,88.1,60.0,32.7,115.5
M03,2023-11-12,115.5,0.0,25.1,90.4
M03,2023-11-19,90.4,50.0,31.4,109.0
M03,2023-11-26,109.0,0.0,19.3,89.7
M03,2023-12-03,89.7,0.0,25.2,64.6
M03,2023-12-10,64.6,60.0,34.7,89.9
M03,2023-12-17,89.9,0.0,21.6,68.3
M03,2023-12-24,68.3,90.0,25.7,132.6
M03,2023-12-31,132.6,0.0,45.5,87.1
M03,2024-01-07,87.1,60.0,27.2,119.9
M03,2024-01-14,119.9,0.0,33.8,86.1
M03,2024-01-21,86.1,60.0,24.1,122.0
M03,2024-01-28,122.0,0.0,28.4,93.5
M03,2024-02-04,93.5,0.0,19.9,73.7
M03,2024-02-11,73.7,0.0,17.3,56.4
M03,2024-02-18,56.4,50.0,8.0,98.4
M03,2024-02-25,98.4,0.0,11.1,87.3
M03,2024-03-03,87.3,0.0,12.2,75.1
M03,2024-03-10,75.1,0.0,8.0,67.2
M03,2024-03-17,67.2,0.0,14.8,52.3
