SalesLineID,OrderID,OrderDate,CustomerID,DistributorID,RepEmployeeID,ProductID,Quantity,UnitPrice,DiscountPct,LineRevenue,PromotionID
SL0000001,SO000001,2022-01-03,C0001,D01,E06,P022,11,220,0,2420,
SL0000002,SO000001,2022-01-03,C0001,D01,E06,P015,6,85,0,510,
SL0000003,SO000001,2022-01-03,C0001,D01,E06,P018,8,135,0,1080,
SL0000004,SO000001,2022-01-03,C0001,D01,E06,P010,8,125,0,1000,
SL0000005,SO000001,2022-01-03,C0001,D01,E06,P008,4,105,0,420,
SL0000006,SO000001,2022-01-03,C0001,D01,E06,P009,6,130,0,780,
SL0000007,SO000002,2022-01-15,C0001,D01,E06,P017,6,90,0,540,
SL0000008,SO000002,2022-01-15,C0001,D01,E06,P012,8,80,0,640,
SL0000009,SO000002,2022-01-15,C0001,D01,E06,P010,10,125,0,1250,
SL0000010,SO000003,2022-01-25,C0001,D01,E06,P016,4,77.6,0.03,310.4,
SL0000011,SO000003,2022-01-25,C0001,D01,E06,P007,8,110,0,880,
SL0000012,SO000003,2022-01-25,C0001,D01,E06,P020,10,125,0,1250,
SL0000013,SO000003,2022-01-25,C0001,D01,E06,P022,14,213.4,0.03,2987.6,
SL0000014,SO000004,2022-02-04,C0001,D01,E06,P016,6,80,0,480,
SL0000015,SO000004,2022-02-04,C0001,D01,E06,P003,8,95,0,760,
SL0000016,SO000004,2022-02-04,C0001,D01,E06,P009,6,130,0,780,
SL0000017,SO000004,2022-02-04,C0001,D01,E06,P001,6,63.05,0.03,378.3,
SL0000018,SO000004,2022-02-04,C0001,D01,E06,P014,11,95,0,1045,
SL0000019,SO000004,2022-02-04,C0001,D01,E06,P017,14,90,0,1260,
SL0000020,SO000004,2022-02-04,C0001,D01,E06,P019,10,115,0,1150,
SL0000021,SO000005,2022-02-14,C0001,D01,E06,P021,14,190,0,2660,
SL0000022,SO000005,2022-02-14,C0001,D01,E06,P004,14,70,0,980,
SL0000023,SO000005,2022-02-14,C0001,D01,E06,P017,6,90,0,540,
SL0000024,SO000005,2022-02-14,C0001,D01,E06,P005,6,120,0,720,
SL0000025,SO000006,2022-02-28,C0001,D01,E06,P006,6,90,0,540,
SL0000026,SO000006,2022-02-28,C0001,D01,E06,P005,11,120,0,1320,
SL0000027,SO000006,2022-02-28,C0001,D01,E06,P004,8,67.9,0.03,543.2,
SL0000028,SO000006,2022-02-28,C0001,D01,E06,P022,14,220,0,3080,
SL0000029,SO000006,2022-02-28,C0001,D01,E06,P016,6,77.6,0.03,465.6,
SL0000030,SO000006,2022-02-28,C0001,D01,E06,P012,11,80,0,880,
SL0000031,SO000006,2022-02-28,C0001,D01,E06,P010,4,125,0,500,
SL0000032,SO000007,2022-03-13,C0001,D01,E06,P001,8,65,0,520,
SL0000033,SO000007,2022-03-13,C0001,D01,E06,P002,5,60,0,300,
SL0000034,SO000007,2022-03-13,C0001,D01,E06,P008,3,105,0,315,
SL0000035,SO000007,2022-03-13,C0001,D01,E06,P014,4,95,0,380,
SL0000036,SO000007,2022-03-13,C0001,D01,E06,P009,6,130,0,780,
SL0000037,SO000007,2022-03-13,C0001,D01,E06,P007,6,110,0,660,
SL0000038,SO000007,2022-03-13,C0001,D01,E06,P022,4,213.4,0.03,853.6,
SL0000039,SO000008,2022-03-25,C0001,D01,E06,P010,7,121.25,0.03,848.75,
SL0000040,SO000008,2022-03-25,C0001,D01,E06,P021,3,190,0,570,
SL0000041,SO000008,2022-03-25,C0001,D01,E06,P009,4,130,0,520,
SL0000042,SO000008,2022-03-25,C0001,D01,E06,P013,5,75,0,375,
SL0000043,SO000008,2022-03-25,C0001,D01,E06,P006,3,90,0,270,
SL0000044,SO000009,2022-04-05,C0001,D01,E06,P012,3,80,0,240,
SL0000045,SO000009,2022-04-05,C0001,D01,E06,P019,9,115,0,1035,
SL0000046,SO000009,2022-04-05,C0001,D01,E06,P011,8,120,0,960,
SL0000047,SO000009,2022-04-05,C0001,D01,E06,P013,8,75,0,600,
SL0000048,SO000009,2022-04-05,C0001,D01,E06,P003,4,95,0,380,
SL0000049,SO000009,2022-04-05,C0001,D01,E06,P014,6,95,0,570,
SL0000050,SO000010,2022-04-19,C0001,D01,E06,P010,3,125,0,375,
SL0000051,SO000010,2022-04-19,C0001,D01,E06,P021,6,190,0,1140,
SL0000052,SO000010,2022-04-19,C0001,D01,E06,P006,7,90,0,630,
SL0000053,SO000010,2022-04-19,C0001,D01,E06,P014,6,95,0,570,
SL0000054,SO000010,2022-04-19,C0001,D01,E06,P022,4,213.4,0.03,853.6,
