OrderID,OrderDate,CustomerID,DistributorID,RepEmployeeID,NumLines,OrderValue
SO000001,2022-01-03,C0001,D01,E06,6,6210.0
SO000002,2022-01-15,C0001,D01,E06,3,2430.0
SO000003,2022-01-25,C0001,D01,E06,4,5428.0
SO000004,2022-02-04,C0001,D01,E06,7,5853.3
SO000005,2022-02-14,C0001,D01,E06,4,4900.0
SO000006,2022-02-28,C0001,D01,E06,7,7328.8
SO000007,2022-03-13,C0001,D01,E06,7,3808.6
SO000008,2022-03-25,C0001,D01,E06,5,2583.75
SO000009,2022-04-05,C0001,D01,E06,6,3785.0
SO000010,2022-04-19,C0001,D01,E06,6,4048.6
SO000011,2022-04-30,C0001,D01,E06,7,3471.5
SO000012,2022-05-12,C0001,D01,E06,4,2121.1
SO000013,2022-05-24,C0001,D01,E06,3,1485.6
SO000014,2022-06-07,C0001,D01,E06,3,2010.0
SO000015,2022-06-17,C0001,D01,E06,3,2695.0
SO000016,2022-06-30,C0001,D01,E06,4,3164.6
SO000017,2022-07-10,C0001,D01,E06,7,5040.0
SO000018,2022-07-23,C0001,D01,E06,5,4247.6
SO000019,2022-08-06,C0001,D01,E06,5,3725.2
SO000020,2022-08-17,C0001,D01,E06,3,1245.0
SO000021,2022-08-31,C0001,D01,E06,3,2166.2
SO000022,2022-09-14,C0001,D01,E06,6,4990.7
SO000023,2022-09-25,C0001,D01,E06,7,4505.0
SO000024,2022-10-09,C0001,D01,E06,6,5849.4
SO000025,2022-10-23,C0001,D01,E06,7,7713.35
SO000026,2022-11-02,C0001,D01,E06,4,4585.0
SO000027,2022-11-16,C0001,D01,E06,5,5756.0
SO000028,2022-11-26,C0001,D01,E06,7,5451.2
SO000029,2022-12-06,C0001,D01,E06,5,7135.0
SO000030,2022-12-17,C0001,D01,E06,5,7815.0
SO000031,2022-12-29,C0001,D01,E06,7,6578.75
SO000032,2023-01-12,C0001,D01,E06,5,3060.0
SO000033,2023-01-22,C0001,D01,E06,7,8931.1
SO000034,2023-02-05,C0001,D01,E06,3,2175.6
SO000035,2023-02-17,C0001,D01,E06,7,9240.0
SO000036,2023-03-03,C0001,D01,E06,6,3660.8
SO000037,2023-03-17,C0001,D01,E06,5,3690.0
SO000038,2023-03-28,C0001,D01,E06,7,4091.3
SO000039,2023-04-09,C0001,D01,E06,3,1640.0
SO000040,2023-04-19,C0001,D01,E06,4,2090.0
SO000041,2023-05-02,C0001,D01,E06,7,3790.0
SO000042,2023-05-12,C0001,D01,E06,3,1780.0
SO000043,2023-05-22,C0001,D01,E06,4,2701.35
SO000044,2023-06-05,C0001,D01,E06,4,2620.0
SO000045,2023-06-18,C0001,D01,E06,3,1698.8
SO000046,2023-07-01,C0001,D01,E06,6,4590.0
SO000047,2023-07-11,C0001,D01,E06,4,4097.8
SO000048,2023-07-25,C0001,D01,E06,3,2500.0
SO000049,2023-08-05,C0001,D01,E06,7,5733.1
SO000050,2023-08-16,C0001,D01,E06,3,2505.75
SO000051,2023-08-27,C0001,D01,E06,5,4759.45
SO000052,2023-09-06,C0001,D01,E06,5,3070.0
SO000053,2023-09-19,C0001,D01,E06,6,5228.7
SO000054,2023-10-01,C0001,D01,E06,7,6447.6
SO000055,2023-10-14,C0001,D01,E06,7,5330.8
SO000056,2023-10-26,C0001,D01,E06,6,4160.6
SO000057,2023-11-06,C0001,D01,E06,6,9325.2
SO000058,2023-11-17,C0001,D01,E06,5,6860.0
SO000059,2023-11-27,C0001,D01,E06,6,5820.0
SO000060,2023-12-10,C0001,D01,E06,5,7480.0
SO000061,2023-12-22,C0001,D01,E06,6,6897.7
SO000062,2024-01-03,C0001,D01,E06,3,2555.0
SO000063,2024-01-13,C0001,D01,E06,6,8611.05
SO000064,2024-01-27,C0001,D01,E06,6,6620.0
SO000065,2024-02-09,C0001,D01,E06,5,6545.0
SO000066,2024-02-23,C0001,D01,E06,6,8904.2
SO000067,2024-03-06,C0001,D01,E06,4,2971.1
SO000068,2024-03-17,C0001,D01,E06,5,2421.3
SO000069,2024-03-27,C0001,D01,E06,6,4535.0
SO000070,2024-04-09,C0001,D01,E06,6,3230.0
SO000071,2024-04-23,C0001,D01,E06,3,1955.0
SO000072,2024-05-04,C0001,D01,E06,7,3726.1
SO000073,2024-05-14,C0001,D01,E06,7,4914.85
SO000074,2024-05-26,C0001,D01,E06,6,3127.5
SO000075,2024-06-07,C0001,D01,E06,3,2275.0
SO000076,2024-06-17,C0001,D01,E06,7,7984.1
SO000077,2024-06-29,C0001,D01,E06,6,4253.4
SO000078,2024-07-11,C0001,D01,E06,6,4305.0
SO000079,2024-07-21,C0001,D01,E06,7,6511.65
SO000080,2024-08-02,C0001,D01,E06,7,6215.0
SO000081,2024-08-13,C0001,D01,E06,4,3865.0
SO000082,2024-08-23,C0001,D01,E06,5,3445.0
SO000083,2024-09-03,C0001,D01,E06,5,4050.0
SO000084,2024-09-15,C0001,D01,E06,4,3749.1
SO000085,2024-09-29,C0001,D01,E06,7,6135.0
SO000086,2024-10-13,C0001,D01,E06,5,6372.75
SO000087,2024-10-27,C0001,D01,E06,7,7566.75
SO000088,2024-11-10,C0001,D01,E06,5,4754.3
SO000089,2024-11-24,C0001,D01,E06,4,4143.8
SO000090,2024-12-07,C0001,D01,E06,4,6760.0
SO000091,2024-12-20,C0001,D01,E06,4,3510.0
SO000092,2022-01-10,C0002,D01,E07,3,2507.5
SO000093,2022-01-20,C0002,D01,E07,6,5098.75
SO000094,2022-01-30,C0002,D01,E07,5,3740.0
SO000095,2022-02-11,C0002,D01,E07,3,3190.0
SO000096,2022-02-21,C0002,D01,E07,6,5520.6
SO000097,2022-03-06,C0002,D01,E07,3,2603.4
SO000098,2022-03-18,C0002,D01,E07,3,2100.0
SO000099,2022-03-30,C0002,D01,E07,6,3618.35
SO000100,2022-04-10,C0002,D01,E07,4,2060.0
SO000101,2022-04-22,C0002,D01,E07,3,1490.0
SO000102,2022-05-05,C0002,D01,E07,6,3122.85
SO000103,2022-05-18,C0002,D01,E07,7,3715.0
SO000104,2022-05-28,C0002,D01,E07,4,2695.0
SO000105,2022-06-11,C0002,D01,E07,3,2397.7
SO000106,2022-06-21,C0002,D01,E07,5,4361.1
SO000107,2022-07-05,C0002,D01,E07,6,3079.0
SO000108,2022-07-15,C0002,D01,E07,6,3583.55
