PO_ID,PO_Date,SupplierID,SupplierName,MaterialID,MaterialName,Category,UnitOfMeasure,OrderQuantity,UnitCost_INR,BaseCost_INR,GST_Rate_Percent,GST_Amount_INR,FreightCost_INR,TotalPOValue_INR,PromisedLeadTimeDays,ExpectedDeliveryDate,ActualDeliveryDate,DelayDays,DeliveryStatus,PaymentTermsDays
PO-2018-0001,2018-08-02,SUP005,Chemico Excipients Ltd,RM010,Microcrystalline Cellulose (MCC),Excipients,kg,3.9,110.32,430.25,18,77.44,809.9,1317.59,12,2018-08-14,2018-08-13,-1,Early,60
PO-2018-0002,2018-08-02,SUP008,Malwa Print & Cartons,RM017,Product Labels (units),Packaging,units,249.0,0.88,219.12,18,39.44,283.43,541.99,8,2018-08-10,2018-08-14,4,Delayed,15
PO-2018-0003,2018-08-06,SUP007,Indore Packaging Solutions,RM015,HDPE Bottles 100ml (units),Packaging,units,187.0,4.18,781.66,18,140.7,299.29,1221.65,9,2018-08-15,2018-08-15,0,On-Time,15
PO-2018-0004,2018-08-08,SUP005,Chemico Excipients Ltd,RM012,Maize Starch,Excipients,kg,2.9,84.85,246.06,18,44.29,812.67,1103.02,9,2018-08-17,2018-08-15,-2,Early,60
PO-2018-0005,2018-08-12,SUP007,Indore Packaging Solutions,RM018,Corrugated Shipping Boxes (units),Packaging,units,27.0,22.49,607.23,18,109.3,313.19,1029.72,8,2018-08-20,2018-08-20,0,On-Time,15
PO-2018-0006,2018-08-14,SUP005,Chemico Excipients Ltd,RM011,Magnesium Stearate,Excipients,kg,1.0,184.31,184.31,18,33.18,870.11,1087.6,12,2018-08-26,2018-08-26,0,On-Time,60
PO-2018-0007,2018-08-15,SUP008,Malwa Print & Cartons,RM016,Printed Cartons (units),Packaging,units,170.0,3.19,542.3,18,97.61,306.22,946.13,8,2018-08-23,2018-08-23,0,On-Time,15
PO-2018-0008,2018-08-16,SUP001,Madhya Herbs Pvt Ltd,RM002,Tulsi Leaves (Dried),Raw Herbs,kg,7.6,134.66,1023.42,5,51.17,529.4,1603.99,32,2018-09-17,2018-09-17,0,On-Time,30
PO-2018-0009,2018-08-17,SUP001,Madhya Herbs Pvt Ltd,RM001,Ashwagandha Root (Dried),Raw Herbs,kg,8.7,174.16,1515.19,5,75.76,584.86,2175.81,34,2018-09-20,2018-09-18,-2,Early,30
PO-2018-0010,2018-08-18,SUP001,Madhya Herbs Pvt Ltd,RM004,Giloy Stem (Dried),Raw Herbs,kg,4.6,153.95,708.17,5,35.41,530.87,1274.45,33,2018-09-20,2018-09-19,-1,Early,30
PO-2018-0011,2018-08-30,SUP002,Vindhya Botanicals,RM003,Amla Fruit (Dried),Raw Herbs,kg,4.8,158.9,762.72,5,38.14,485.64,1286.5,32,2018-10-01,2018-10-01,0,On-Time,30
PO-2018-0012,2018-09-20,SUP004,Girnar Ayur Ingredients,RM005,Ashwagandha Extract (5% Withanolides),Herbal Extracts,kg,3.5,914.14,3199.49,12,383.94,851.3,4434.73,27,2018-10-17,2018-10-20,3,Delayed,45
PO-2018-0013,2018-10-01,SUP003,Himalayan Herb Extracts,RM006,Brahmi Extract,Herbal Extracts,kg,3.4,862.02,2930.87,12,351.7,1285.87,4568.44,21,2018-10-22,2018-10-22,0,On-Time,45
PO-2018-0014,2018-10-03,SUP003,Himalayan Herb Extracts,RM009,Triphala Extract,Herbal Extracts,kg,3.5,775.99,2715.97,12,325.92,1319.84,4361.73,18,2018-10-21,2018-10-21,0,On-Time,45
PO-2018-0015,2018-10-08,SUP007,Indore Packaging Solutions,RM015,HDPE Bottles 100ml (units),Packaging,units,1026.0,4.29,4401.54,18,792.28,329.37,5523.19,7,2018-10-15,2018-10-15,0,On-Time,15
PO-2018-0016,2018-10-13,SUP004,Girnar Ayur Ingredients,RM008,Turmeric Curcumin Extract (95%),Herbal Extracts,kg,5.2,1397.29,7265.91,12,871.91,832.2,8970.02,14,2018-10-27,2018-10-26,-1,Early,45
PO-2018-0017,2018-10-16,SUP004,Girnar Ayur Ingredients,RM007,Shatavari Extract,Herbal Extracts,kg,3.3,835.91,2758.5,12,331.02,792.92,3882.44,17,2018-11-02,2018-11-02,0,On-Time,45
PO-2018-0018,2018-10-23,SUP008,Malwa Print & Cartons,RM016,Printed Cartons (units),Packaging,units,1038.0,3.14,3259.32,18,586.68,442.34,4288.34,10,2018-11-02,2018-11-02,0,On-Time,15
PO-2018-0019,2018-10-23,SUP008,Malwa Print & Cartons,RM017,Product Labels (units),Packaging,units,1325.0,0.88,1166.0,18,209.88,330.43,1706.31,5,2018-10-28,2018-10-31,3,Delayed,15
PO-2018-0020,2018-11-09,SUP007,Indore Packaging Solutions,RM018,Corrugated Shipping Boxes (units),Packaging,units,229.0,21.9,5015.1,18,902.72,498.35,6416.17,8,2018-11-17,2018-11-17,0,On-Time,15
PO-2018-0021,2018-12-01,SUP005,Chemico Excipients Ltd,RM010,Microcrystalline Cellulose (MCC),Excipients,kg,41.9,110.66,4636.65,18,834.6,1133.19,6604.44,12,2018-12-13,2018-12-12,-1,Early,60
